Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,Agilent Technologies,72.35,0.78,1.09%,72.64,71.34,2279400,11/30/2018
AAL,American Airlines Gp,40.16,1.74,4.53%,40.2,38.42,10015600,11/30/2018
AAP,Advance Auto Parts Inc,177.71,0.04,0.02%,178.91,175.01,1399600,11/30/2018
AAPL,Apple Inc,178.58,-0.97,-0.54%,180.33,177.03,39531500,11/30/2018
ABBV,Abbvie Inc,94.27,4.36,4.85%,94.27,89.87,12031700,11/30/2018
ABC,Amerisourcebergen Corp,88.9,-1.6,-1.77%,90.87,87.67,1934500,11/30/2018
ABMD,Abiomed Inc,332.68,0.69,0.21%,335.98,329.04,522900,11/30/2018
ABT,Abbott Laboratories,74.05,0.79,1.08%,74.23,73.07,8030500,11/30/2018
ACN,Accenture Plc,164.52,3.45,2.14%,164.54,160.98,5832700,11/30/2018
ADBE,Adobe Systems Inc,250.89,1.8,0.72%,251.57,247.09,5156600,11/30/2018
ADI,Analog Devices,91.92,2.4,2.68%,91.97,88.79,3335800,11/30/2018
ADM,Archer Daniels Midland Company,46.02,-0.02,-0.04%,46.28,45.92,6181900,11/30/2018
ADP,Automatic Data Procs,147.42,1.57,1.08%,147.56,145.8,4150700,11/30/2018
ADS,Alliance Data Systems Corp,200.36,3.66,1.86%,200.57,196.23,657600,11/30/2018
ADSK,Autodesk Inc,144.5,-1.05,-0.72%,146.5,142.19,2624700,11/30/2018
AEE,Ameren Corp,68.62,0.8,1.18%,68.69,67.6,2389800,11/30/2018
AEP,American Electric Power Company,77.74,1.39,1.82%,77.8,76.24,2814500,11/30/2018
AES,The Aes Corp,15.49,0.05,0.32%,15.52,15.36,7152000,11/30/2018
AFL,Aflac Incorporated,45.74,0.34,0.75%,45.92,45.33,5432000,11/30/2018
AGN,Allergan Plc,156.6,1.36,0.88%,156.72,154.54,2283600,11/30/2018
AIG,American International Group,43.25,-0.19,-0.44%,43.56,42.4,10036700,11/30/2018
AIV,Apartment Investment and Management,47.09,0.94,2.04%,47.17,46.33,2136000,11/30/2018
AIZ,Assurant Inc,97.24,-0.56,-0.57%,98.12,97.17,449900,11/30/2018
AJG,Arthur J. Gallagher & Co,77.07,-0.96,-1.23%,78.75,77.07,4205700,11/30/2018
AKAM,Akamai Technologies,68.75,0.64,0.94%,69.54,68.05,1695100,11/30/2018
ALB,Albemarle Corp,96.32,-0.1,-0.10%,97.29,95.22,1037800,11/30/2018
ALGN,Align Technology I,229.89,1.19,0.52%,232.97,224.72,1206300,11/30/2018
ALK,Alaska Air Group,73.26,0.32,0.44%,73.79,72.2,3025500,11/30/2018
ALL,Allstate Corp,89.19,0.71,0.80%,89.38,87.95,2667000,11/30/2018
ALLE,Allegion Plc Ordinary Shares Wh,91.59,-0.16,-0.17%,92.81,90.99,1124500,11/30/2018
ALXN,Alexion Pharm Inc,123.15,-0.19,-0.15%,124.16,121.65,1315100,11/30/2018
AMAT,Applied Materials,37.28,0.74,2.03%,37.28,36.33,13387000,11/30/2018
AMD,Adv Micro Devices,21.3,-0.13,-0.61%,21.36,20.52,82370703,11/30/2018
AME,Amtek Inc,73.43,0.21,0.29%,73.85,72.8,1486500,11/30/2018
AMG,Affiliated Managers Group,111.12,-0.46,-0.41%,112.23,109.73,482800,11/30/2018
AMGN,Amgen Inc,208.25,5.88,2.91%,208.99,201.79,4537600,11/30/2018
AMP,Ameriprise Financial Services,129.75,2.17,1.70%,130.41,127.32,1252700,11/30/2018
AMT,American Tower Corp,164.49,1.77,1.09%,164.66,161.88,2741400,11/30/2018
AMZN,Amazon.com Inc,1690.17,16.6,0.99%,1696,1666.5,5761700,11/30/2018
ANET,Arista Networks Inc,238.48,2.17,0.92%,239.21,233.52,755400,11/30/2018
ANSS,Ansys Inc,162.02,2.62,1.64%,162.02,158.13,2111400,11/30/2018
ANTM,Anthem Inc,290.07,-2.1,-0.72%,294.41,287.95,1707200,11/30/2018
AON,AON Plc,165.11,1.43,0.87%,165.9,163.64,2568100,11/30/2018
AOS,Smith [A.O.] Corp,47.38,0.54,1.15%,47.59,46.5,1808800,11/30/2018
APA,Apache Corp,35.13,-0.41,-1.15%,35.19,34.24,5394900,11/30/2018
APC,Anadarko Petroleum Corp,52.9,-0.8,-1.49%,53.54,52.23,5742400,11/30/2018
APD,Air Products and Chemicals,160.87,1.66,1.04%,160.97,158.58,1153000,11/30/2018
APH,Amphenol Corp,87.94,0.93,1.07%,88.01,86.69,1743000,11/30/2018
APTV,Aptiv Plc,71.9,0.4,0.56%,72.2,71.08,2424100,11/30/2018
ARE,Alexandria Real Estate Equities,124.5,2.12,1.73%,125.26,122.65,1376900,11/30/2018
ARNC,Arconic Inc,21.48,0.14,0.66%,21.49,20.93,4514500,11/30/2018
ATVI,Activision Blizzard,49.88,-2.68,-5.10%,52.55,49.26,14511801,11/30/2018
AVB,Avalonbay Communities,190.57,2.5,1.33%,190.65,188.02,945800,11/30/2018
AVGO,Broadcom Ltd,237.41,1.63,0.69%,238.28,233.39,4008200,11/30/2018
AVY,Avery Dennison Corp,96.4,1.07,1.12%,96.57,94.52,1146400,11/30/2018
AWK,American Water Works,95.41,2.93,3.17%,95.41,92.51,2473700,11/30/2018
AXP,American Express Company,112.27,0.96,0.86%,112.45,110.37,3949600,11/30/2018
AZO,Autozone,809.07,-16.76,-2.03%,827.09,804.57,602800,11/30/2018
BA,Boeing Company,346.76,4.2,1.23%,347.58,337.5,5373900,11/30/2018
BAC,Bank of America Corp,28.4,0.36,1.28%,28.63,27.87,64284602,11/30/2018
BAX,Baxter International Inc,68.55,0.53,0.78%,68.64,67.54,4091000,11/30/2018
BBT,BB&T Corp,51.1,0.5,0.99%,51.36,50.43,4685400,11/30/2018
BBY,Best Buy Co,64.59,0.52,0.81%,65,63.34,3992200,11/30/2018
BDX,Becton Dickinson and Company,252.75,2.65,1.06%,253.32,249.32,1345500,11/30/2018
BEN,Franklin Resources,33.89,0.39,1.16%,33.91,33.3,5921600,11/30/2018
BF.B,Brown Forman Inc Cl B,47.72,-0.58,-1.20%,48.47,47.44,2579600,11/30/2018
BHF,Brighthouse Financial Inc,40.26,0.22,0.55%,40.4,39.58,1065800,11/30/2018
BHGE,Baker Hughes A Ge Co. Cl. A,22.82,-0.29,-1.25%,23.08,22.41,14481700,11/30/2018
BIIB,Biogen Inc,333.72,7.11,2.18%,333.77,325.15,1666900,11/30/2018
BK,Bank of New York Mellon Corp,51.31,0.63,1.24%,51.39,50.6,5407200,11/30/2018
BKNG,Booking Holdings Inc,1891.88,26.73,1.43%,1897.11,1852.8,360900,11/30/2018
BLK,Blackrock,428.01,5.07,1.20%,428.01,419,1066400,11/30/2018
BLL,Ball Corp,49.11,-0.46,-0.93%,49.78,48.99,4113700,11/30/2018
BMY,Bristol-Myers Squibb Company,53.46,1.64,3.16%,53.48,51.75,13932000,11/30/2018
BR,Broadridge Financial Solutions Llc,105.87,4.1,4.03%,105.87,101.43,3781100,11/30/2018
BRK.B,Berkshire Hath Hld Cl B,218.24,0.54,0.25%,219.08,216.93,5153100,11/30/2018
BSX,Boston Scientific Corp,37.67,0.63,1.70%,37.72,37.03,9795101,11/30/2018
BWA,Borgwarner Inc,39.58,0.21,0.53%,39.76,38.94,2118900,11/30/2018
BXP,Boston Properties,131.2,1.38,1.06%,131.27,129.33,1286600,11/30/2018
C,Citigroup Inc,64.79,-0.11,-0.17%,65,64.11,14207801,11/30/2018
CAG,Conagra Brands Inc,32.34,0.07,0.22%,32.38,32.15,7868800,11/30/2018
CAH,Cardinal Health,54.83,-0.19,-0.35%,55.23,54.11,4442700,11/30/2018
CAT,Caterpillar Inc,135.67,5.44,4.18%,135.97,129.84,8458100,11/30/2018
CB,Chubb Ltd,133.74,-0.47,-0.35%,134.72,133.01,2955900,11/30/2018
CBOE,CBOE Global Markets Inc,107.62,0.79,0.74%,108.03,106.07,895400,11/30/2018
CBRE,CBRE Group Inc,43.68,0.54,1.25%,43.74,42.98,2151200,11/30/2018
CBS,CBS Corp,54.18,-1.17,-2.11%,55.49,53.81,3397100,11/30/2018
CCI,Crown Castle International Corp,114.9,1.9,1.68%,114.95,112.71,3752300,11/30/2018
CCL,Carnival Corp,60.29,-0.44,-0.72%,60.58,59.1,5744700,11/30/2018
CDNS,Cadence Design Sys,45.04,0.92,2.09%,45.14,44,1991000,11/30/2018
CELG,Celgene Corp,72.22,2.06,2.94%,72.31,69.57,9650800,11/30/2018
CERN,Cerner Corp,57.91,0.56,0.98%,58.24,57.16,2838600,11/30/2018
CF,Cf Industries Holdings,42.19,-1.31,-3.01%,43.29,41.95,4877400,11/30/2018
CFG,Citizens Financial Group Inc/Ri,36.36,0.33,0.92%,36.67,35.83,5518300,11/30/2018
CHD,Church & Dwight Company,66.19,0.23,0.35%,66.24,65.56,4142700,11/30/2018
CHRW,C.H. Robinson Ww,92.33,0.58,0.63%,92.99,91.46,2244900,11/30/2018
CHTR,Charter Communicatio,329.2,-1.13,-0.34%,333.24,324.95,1784500,11/30/2018
CI,Cigna Corp,223.38,0.86,0.39%,223.96,219.93,2440900,11/30/2018
CINF,Cincinnati Financial,81.73,0.25,0.31%,82.14,81.12,723900,11/30/2018
CL,Colgate-Palmolive Company,63.52,0.48,0.76%,63.59,62.7,3568600,11/30/2018
CLX,Clorox Company,165.62,-0.43,-0.26%,166.53,164.79,2160000,11/30/2018
CMA,Comerica Inc,79.18,0.19,0.24%,80.17,78.59,2675700,11/30/2018
CMCSA,Comcast Corp A,39.01,-0.41,-1.04%,39.6,38.72,38075598,11/30/2018
CME,CME Group Inc,190.08,1.17,0.62%,190.77,187.41,3245900,11/30/2018
CMG,Chipotle Mexican Grill,473.21,-9.35,-1.94%,482.55,463,956200,11/30/2018
CMI,Cummins Inc,151.06,2.86,1.93%,151.58,148.18,1415700,11/30/2018
CMS,Cms Energy Corp,52.09,0.78,1.52%,52.13,51.26,2829300,11/30/2018
CNC,Centene Corp,142.25,0.31,0.22%,142.84,141.11,1574200,11/30/2018
CNP,Centerpoint Energy Inc,28.01,0.27,0.97%,28.02,27.7,6083000,11/30/2018
COF,Capital One Financial Corp,89.68,0.81,0.91%,89.87,88.41,2488300,11/30/2018
COG,Cabot Oil & Gas Corp,25.16,0.47,1.90%,25.25,24.55,7097500,11/30/2018
COO,Cooper Companies,278.83,1.41,0.51%,281.75,275.92,511000,11/30/2018
COP,Conocophillips,66.18,-0.69,-1.03%,66.94,65.43,7175300,11/30/2018
COST,Costco Wholesale,231.28,0.28,0.12%,233.39,229.7,2764100,11/30/2018
COTY,Coty Inc,8.34,-0.18,-2.11%,8.52,8.26,9268500,11/30/2018
CPB,Campbell Soup Company,39.2,-0.43,-1.09%,39.52,38.71,3616200,11/30/2018
CPRT,Copart Inc,51.18,-0.53,-1.02%,52.19,50.98,2610800,11/30/2018
CRM,Salesforce.com Inc,142.76,3.04,2.18%,143.22,138.28,9401300,11/30/2018
CSCO,Cisco Systems Inc,47.87,0.53,1.12%,47.91,46.92,41619000,11/30/2018
CSX,CSX Corp,72.63,0.86,1.20%,73.09,71.64,6820500,11/30/2018
CTAS,Cintas Corp,187.38,-0.66,-0.35%,189.82,186.91,797400,11/30/2018
CTL,Centurylink,18.8,0.18,0.97%,18.83,18.51,14201600,11/30/2018
CTSH,Cognizant Tech Sol,71.23,0.93,1.32%,71.29,70.06,4139200,11/30/2018
CTXS,Citrix Systems Inc,108.97,-1.49,-1.35%,110.87,108.14,3402300,11/30/2018
CVS,CVS Corp,80.2,0.2,0.25%,80.24,78.68,15921500,11/30/2018
CVX,Chevron Corp,118.94,0.09,0.08%,119.21,117.7,6712600,11/30/2018
CXO,Concho Resources Inc,130.34,-1.16,-0.88%,131.04,128.38,2372000,11/30/2018
D,Dominion Resources,74.5,0.75,1.02%,74.53,73.57,5397600,11/30/2018
DAL,Delta Air Lines Inc,60.71,1.85,3.14%,61.32,59.17,10847101,11/30/2018
DE,Deere & Company,154.88,4.91,3.27%,155.32,149.79,2534800,11/30/2018
DFS,Discover Financial Services,71.3,0.08,0.11%,71.52,70.42,2086900,11/30/2018
DG,Dollar General Corp,110.99,0.1,0.09%,111.64,110.09,4153400,11/30/2018
DGX,Quest Diagnostics Inc,88.57,0.63,0.72%,88.7,85.56,3534800,11/30/2018
DHI,D.R. Horton,37.22,-0.13,-0.35%,37.5,36.83,5027800,11/30/2018
DHR,Danaher Corp,109.54,1.6,1.48%,109.67,108,3278500,11/30/2018
DIS,Walt Disney Company,115.49,-1.12,-0.96%,117.07,115.06,16857699,11/30/2018
DISCA,Discovery Comm A,30.72,-0.91,-2.88%,31.73,30.54,5420700,11/30/2018
DISCK,Discovery Comm Inc,27.93,-0.73,-2.55%,28.7,27.72,5259100,11/30/2018
DISH,Dish Network Corp,32.76,-0.2,-0.61%,33.28,32.58,2590900,11/30/2018
DLR,Digital Realty Trust,115.04,1.35,1.19%,115.13,112.95,1724000,11/30/2018
DLTR,Dollar Tree Inc,86.77,-1.66,-1.88%,89.48,86.73,6647000,11/30/2018
DOV,Dover Corp,84.89,0.85,1.01%,84.99,83.95,1732600,11/30/2018
DRE,Duke Realty Corp,28.46,0.39,1.39%,28.47,28.02,3330000,11/30/2018
DRI,Darden Restaurants,110.54,-0.72,-0.65%,111.88,109.59,1875000,11/30/2018
DTE,Dte Energy Company,119.74,2.07,1.76%,119.8,117.82,1406400,11/30/2018
DUK,Duke Energy Corp,88.57,0.97,1.11%,88.73,87.21,4829300,11/30/2018
DVA,Davita Healthcare Partners Inc,66.06,0.4,0.61%,66.39,65.1,1703900,11/30/2018
DVN,Devon Energy Corp,27.03,0.12,0.45%,27.15,25.98,10152800,11/30/2018
DWDP,Dowdupont Inc,57.85,0.61,1.07%,58.02,56.92,13688601,11/30/2018
DXC,Dxc Technology Company,63.04,0.73,1.17%,63.35,62.12,2977800,11/30/2018
EA,Electronic Arts Inc,84.07,-2.32,-2.69%,86.83,83.73,5395500,11/30/2018
EBAY,Ebay Inc,29.85,0.33,1.12%,29.88,29.26,19709500,11/30/2018
ECL,Ecolab Inc,160.49,2.1,1.33%,160.92,158.31,2510500,11/30/2018
ED,Consolidated Edison Company of New York,80.35,1.11,1.40%,80.39,79.04,2937200,11/30/2018
EFX,Equifax Inc,102.67,-0.13,-0.13%,103.1,101.76,739700,11/30/2018
EIX,Edison International,55.32,0.6,1.10%,55.65,54.61,4336600,11/30/2018
EL,Estee Lauder Companies,142.66,1.16,0.82%,142.86,140.87,4825100,11/30/2018
EMN,Eastman Chemical Company,78.82,-0.22,-0.28%,79.79,78.37,1307700,11/30/2018
EMR,Emerson Electric Company,67.52,0.19,0.28%,67.65,66.42,3467100,11/30/2018
EOG,Eog Resources,103.31,-2.16,-2.05%,104.68,102.89,5268800,11/30/2018
EQIX,Equinix Inc,385.28,1.17,0.30%,388.32,381.67,786500,11/30/2018
EQR,Equity Residential,71.25,0.98,1.39%,71.29,70.18,2534400,11/30/2018
ES,Eversource Energy,68.34,1.27,1.89%,68.39,67.04,3012000,11/30/2018
ESRX,Express Scripts,101.47,0.25,0.25%,101.49,100.39,4674200,11/30/2018
ESS,Essex Property Trust,262.51,3.17,1.22%,262.59,259.12,351400,11/30/2018
ETFC,E*Trade Finl Corp,52.29,0.83,1.61%,52.51,51.42,3547000,11/30/2018
ETN,Eaton Corp,76.94,0.93,1.22%,77,75.25,3137700,11/30/2018
ETR,Entergy Corp,87.06,1.19,1.39%,87.28,85.87,1686500,11/30/2018
EVRG,Evergy Inc,59.37,0.55,0.94%,59.55,58.48,2113000,11/30/2018
EW,Edwards Lifesciences Corp,162.01,-0.79,-0.49%,163.8,160.33,1794500,11/30/2018
EXC,Exelon Corp,46.39,0.72,1.58%,46.45,45.63,6869500,11/30/2018
EXPD,Expeditors Intl,76.09,0.22,0.29%,76.25,75.19,2265600,11/30/2018
EXPE,Expedia Group Inc,120.79,1.05,0.88%,121.94,120,1316000,11/30/2018
EXR,Extra Space Storage Inc,95.98,1.59,1.68%,95.99,94.2,1996400,11/30/2018
F,Ford Motor Company,9.41,0.04,0.43%,9.48,9.36,36269398,11/30/2018
FAST,Fastenal Co,59.26,0,0.00%,59.78,58.64,3082700,11/30/2018
FB,Facebook Inc,140.61,1.93,1.39%,140.97,137.36,25732500,11/30/2018
FBHS,Fortune Brands Home & Security,43.8,0.38,0.88%,44.01,43.2,2333000,11/30/2018
FCX,Freeport-Mcmoran Inc,11.94,0.12,1.02%,11.99,11.58,17145900,11/30/2018
FDX,Fedex Corp,229,1.5,0.66%,229.57,226.25,1588800,11/30/2018
FE,Firstenergy Corp,37.83,0.68,1.83%,37.95,37.12,6353600,11/30/2018
FFIV,F5 Networks Inc,171.97,-1.56,-0.90%,174.15,171.66,739100,11/30/2018
FIS,Fidelity National Information Services,107.95,2.1,1.98%,108.11,105.88,1933500,11/30/2018
FISV,Fiserv Inc,79.13,0.69,0.88%,79.32,78.38,2597100,11/30/2018
FITB,Fifth Third Bncp,27.93,0.39,1.42%,28.09,27.35,6982100,11/30/2018
FL,Footlocker Inc,56.4,1.03,1.86%,56.82,55.37,2615700,11/30/2018
FLIR,Flir Systems Inc,45.86,0.19,0.42%,45.9,45.24,1581200,11/30/2018
FLR,Fluor Corp,40.93,-0.15,-0.37%,41.37,40.6,2661200,11/30/2018
FLS,Flowserve Corp,48.51,0.77,1.61%,48.75,46.95,1369900,11/30/2018
FLT,Fleetcor Technologies,193.4,1.72,0.90%,195.01,191.4,953900,11/30/2018
FMC,FMC Corp,82.74,-0.31,-0.37%,83.31,82.13,1210500,11/30/2018
FOX,21st Centry Fox Class B,49.03,-0.27,-0.55%,49.4,48.92,7928100,11/30/2018
FOXA,21st Centry Fox Class A,49.47,-0.06,-0.12%,49.71,49.35,14858801,11/30/2018
FRT,Federal Realty Investment Trust,132.09,1.2,0.92%,132.2,130.76,535400,11/30/2018
FTI,Technipfmc Plc,23.09,-0.6,-2.53%,23.4,22.95,4025800,11/30/2018
FTNT,Fortinet Inc,73.84,-0.06,-0.08%,75.07,72.65,3121500,11/30/2018
FTV,Fortive Corp,76.07,1.94,2.62%,76.45,73.83,3020100,11/30/2018
GD,General Dynamics Corp,184.89,2.72,1.49%,185.04,182.35,1647000,11/30/2018
GE,General Electric Company,7.5,-0.44,-5.54%,7.68,7.4,187082891,11/30/2018
GILD,Gilead Sciences Inc,71.94,2.25,3.23%,72.2,69.45,8673200,11/30/2018
GIS,General Mills,42.31,0.1,0.24%,42.59,41.99,6085200,11/30/2018
GLW,Corning Inc,32.22,0.36,1.13%,32.34,31.8,6807900,11/30/2018
GM,General Motors Company,37.95,1.19,3.24%,38,36.66,18108699,11/30/2018
GOOG,Alphabet Class C,1094.43,6.13,0.56%,1095.57,1077.88,2580600,11/30/2018
GOOGL,Alphabet Class A,1109.65,15.07,1.38%,1109.65,1083.18,2983300,11/30/2018
GPC,Genuine Parts Company,103.71,0.62,0.60%,103.8,102.78,1001900,11/30/2018
GPN,Global Payments Inc,111.81,1.06,0.96%,112.13,110.36,1391500,11/30/2018
GPS,Gap Inc,27.29,0.64,2.40%,27.48,26.55,5524200,11/30/2018
GRMN,Garmin Ltd,66.66,0.68,1.03%,66.72,65.82,1792300,11/30/2018
GS,Goldman Sachs Group,190.69,-4.16,-2.13%,191.45,188.12,6219900,11/30/2018
GT,Goodyear Tire Rubber,23.16,0.09,0.39%,23.21,22.86,1972600,11/30/2018
GWW,W.W. Grainger,314.04,2.85,0.92%,315.57,309.1,600400,11/30/2018
HAL,Halliburton Company,31.43,-0.46,-1.44%,31.62,30.95,10940700,11/30/2018
HAS,Hasbro Inc,91,-5.85,-6.04%,97.45,90.97,3746800,11/30/2018
HBAN,Huntington Bcshs,14.59,0.09,0.62%,14.65,14.44,12609999,11/30/2018
HBI,Hanesbrands Inc,15.91,0.25,1.60%,16.08,15.62,5327000,11/30/2018
HCA,Hca Holdings Inc,143.99,-0.51,-0.35%,144.96,142.82,2214300,11/30/2018
HCP,HCP Inc,29.26,0.46,1.60%,29.28,28.75,6015200,11/30/2018
HD,Home Depot,180.32,4.66,2.65%,180.37,175.11,8942300,11/30/2018
HES,Hess Corp,53.89,-0.55,-1.01%,54.69,53.04,3935200,11/30/2018
HFC,Hollyfrontier Corp,62.47,0.79,1.28%,62.72,60.86,2341800,11/30/2018
HIG,Hartford Financial Services Group,44.19,-0.09,-0.20%,44.32,43.73,2516700,11/30/2018
HII,Huntington Ingalls Industries,215.5,0.65,0.30%,216.52,213.69,374500,11/30/2018
HLT,Hilton Inc,75.54,-0.92,-1.20%,76.37,74.69,4767400,11/30/2018
HOG,Harley-Davidson Inc,42.29,-0.2,-0.47%,42.68,42.02,2098000,11/30/2018
HOLX,Hologic Inc,44.41,0,0.00%,44.7,44.28,2074500,11/30/2018
HON,Honeywell International Inc,146.75,1.01,0.69%,147.1,145.33,5394000,11/30/2018
HP,Helmerich & Payne,60.6,-0.55,-0.90%,60.65,58.97,1834200,11/30/2018
HPE,Hewlett Packard Enterprise Comp,15,-0.12,-0.79%,15.14,14.77,20963100,11/30/2018
HPQ,Hewlett-Packard Company,23,0.14,0.61%,23.24,22.42,19162301,11/30/2018
HRB,H&R Block,27.01,-1.23,-4.36%,28.15,26.79,4302900,11/30/2018
HRL,Hormel Foods Corp,45.09,-0.14,-0.31%,45.58,44.88,8325300,11/30/2018
HRS,Harris Corp,142.95,-0.18,-0.13%,143.7,140.74,2183000,11/30/2018
HSIC,Henry Schein Inc,89.2,0.06,0.07%,90.48,88.46,2082000,11/30/2018
HST,Host Marriott Financial Trust,19,-0.3,-1.55%,19.34,18.77,8226899,11/30/2018
HSY,Hershey Foods Corp,108.3,0.85,0.79%,108.49,107.6,2120900,11/30/2018
HUM,Humana Inc,329.47,-0.82,-0.25%,332.95,328.42,1138000,11/30/2018
IBM,International Business Machines,124.27,2.79,2.30%,124.69,121.48,7251500,11/30/2018
ICE,Intercontinental Exchange,81.72,0.63,0.78%,81.83,81,4717600,11/30/2018
IDXX,Idexx Laboratories,203.76,2.64,1.31%,204.37,200.49,516500,11/30/2018
IFF,International Flavors & Fragrances,141.63,0.05,0.04%,142.3,140.93,1148700,11/30/2018
ILMN,Illumina Inc,337.5,-0.46,-0.14%,338.85,331.14,1212500,11/30/2018
INCY,Incyte Corp,64.25,-0.54,-0.83%,65.5,63.55,2849100,11/30/2018
INFO,IHS Markit Ltd,53.37,0.57,1.08%,53.47,52.6,2070700,11/30/2018
INTC,Intel Corp,49.31,1.61,3.38%,49.32,47.56,43312598,11/30/2018
INTU,Intuit Inc,214.53,5.34,2.55%,214.88,209.01,2692600,11/30/2018
IP,International Paper Company,46.19,0.45,0.98%,46.59,45.6,4071200,11/30/2018
IPG,Interpublic Group of Companies,23.5,-0.85,-3.49%,24.31,23.23,7837200,11/30/2018
IPGP,Ipg Photonics Corp,142.15,0.86,0.61%,142.75,139.71,565600,11/30/2018
IQV,Iqvia Holdings Inc,125.07,0.12,0.10%,125.25,121.82,2966300,11/30/2018
IR,Ingersoll-Rand Plc [Ireland],103.52,0.15,0.15%,104.07,102.78,2953500,11/30/2018
